"","X1","real","id","item_num","treatment","control","realxtreatment","realxcontrol","attentive","avg_fake","avg_real","discernment","rating","hispanic","social_conserv","covid_concern_1","mms","crt_acc","study","sciknow","demrep","gender","age"
"124",124,1,5,17,0,1,0,1,1,0.786666677333333,0.746666678,-0.0399999993333333,0.80000001,0,5,1.7,5.2,0,1,0.529411764705882,1,1,38
"125",125,0,5,3,0,1,0,0,1,0.786666677333333,0.746666678,-0.0399999993333333,0.80000001,0,5,1.7,5.2,0,1,0.529411764705882,1,1,38
"126",126,1,5,18,0,1,0,1,1,0.786666677333333,0.746666678,-0.0399999993333333,0.80000001,0,5,1.7,5.2,0,1,0.529411764705882,1,1,38
"127",127,0,5,4,0,1,0,0,1,0.786666677333333,0.746666678,-0.0399999993333333,0.60000002,0,5,1.7,5.2,0,1,0.529411764705882,1,1,38
"128",128,1,5,19,0,1,0,1,1,0.786666677333333,0.746666678,-0.0399999993333333,0.60000002,0,5,1.7,5.2,0,1,0.529411764705882,1,1,38
"129",129,0,5,5,0,1,0,0,1,0.786666677333333,0.746666678,-0.0399999993333333,0.80000001,0,5,1.7,5.2,0,1,0.529411764705882,1,1,38
"130",130,1,5,20,0,1,0,1,1,0.786666677333333,0.746666678,-0.0399999993333333,0.80000001,0,5,1.7,5.2,0,1,0.529411764705882,1,1,38
"131",131,0,5,6,0,1,0,0,1,0.786666677333333,0.746666678,-0.0399999993333333,0.80000001,0,5,1.7,5.2,0,1,0.529411764705882,1,1,38
"132",132,1,5,21,0,1,0,1,1,0.786666677333333,0.746666678,-0.0399999993333333,0.80000001,0,5,1.7,5.2,0,1,0.529411764705882,1,1,38
"133",133,0,5,7,0,1,0,0,1,0.786666677333333,0.746666678,-0.0399999993333333,0.80000001,0,5,1.7,5.2,0,1,0.529411764705882,1,1,38
"134",134,1,5,22,0,1,0,1,1,0.786666677333333,0.746666678,-0.0399999993333333,0.80000001,0,5,1.7,5.2,0,1,0.529411764705882,1,1,38
"135",135,0,5,8,0,1,0,0,1,0.786666677333333,0.746666678,-0.0399999993333333,0.80000001,0,5,1.7,5.2,0,1,0.529411764705882,1,1,38
"136",136,1,5,23,0,1,0,1,1,0.786666677333333,0.746666678,-0.0399999993333333,0.60000002,0,5,1.7,5.2,0,1,0.529411764705882,1,1,38
"137",137,0,5,9,0,1,0,0,1,0.786666677333333,0.746666678,-0.0399999993333333,0.60000002,0,5,1.7,5.2,0,1,0.529411764705882,1,1,38
"138",138,1,5,24,0,1,0,1,1,0.786666677333333,0.746666678,-0.0399999993333333,1,0,5,1.7,5.2,0,1,0.529411764705882,1,1,38
"139",139,0,5,10,0,1,0,0,1,0.786666677333333,0.746666678,-0.0399999993333333,0.80000001,0,5,1.7,5.2,0,1,0.529411764705882,1,1,38
"140",140,1,5,25,0,1,0,1,1,0.786666677333333,0.746666678,-0.0399999993333333,0.80000001,0,5,1.7,5.2,0,1,0.529411764705882,1,1,38
"141",141,0,5,11,0,1,0,0,1,0.786666677333333,0.746666678,-0.0399999993333333,0.80000001,0,5,1.7,5.2,0,1,0.529411764705882,1,1,38
"142",142,1,5,26,0,1,0,1,1,0.786666677333333,0.746666678,-0.0399999993333333,0.80000001,0,5,1.7,5.2,0,1,0.529411764705882,1,1,38
"143",143,0,5,12,0,1,0,0,1,0.786666677333333,0.746666678,-0.0399999993333333,0.80000001,0,5,1.7,5.2,0,1,0.529411764705882,1,1,38
"144",144,1,5,27,0,1,0,1,1,0.786666677333333,0.746666678,-0.0399999993333333,1,0,5,1.7,5.2,0,1,0.529411764705882,1,1,38
"145",145,0,5,13,0,1,0,0,1,0.786666677333333,0.746666678,-0.0399999993333333,1,0,5,1.7,5.2,0,1,0.529411764705882,1,1,38
"146",146,1,5,28,0,1,0,1,1,0.786666677333333,0.746666678,-0.0399999993333333,0.60000002,0,5,1.7,5.2,0,1,0.529411764705882,1,1,38
"147",147,0,5,14,0,1,0,0,1,0.786666677333333,0.746666678,-0.0399999993333333,0.80000001,0,5,1.7,5.2,0,1,0.529411764705882,1,1,38
"148",148,1,5,29,0,1,0,1,1,0.786666677333333,0.746666678,-0.0399999993333333,0.80000001,0,5,1.7,5.2,0,1,0.529411764705882,1,1,38
"149",149,0,5,15,0,1,0,0,1,0.786666677333333,0.746666678,-0.0399999993333333,0.80000001,0,5,1.7,5.2,0,1,0.529411764705882,1,1,38
"150",150,1,5,30,0,1,0,1,1,0.786666677333333,0.746666678,-0.0399999993333333,0.40000001,0,5,1.7,5.2,0,1,0.529411764705882,1,1,38
"151",151,0,6,1,1,0,0,0,0,0.946666669333333,0.986666667333333,0.039999998,0.80000001,1,1,1.74,6.3,0,1,0.588235294117647,1,1,37
"152",152,1,6,16,1,0,1,0,0,0.946666669333333,0.986666667333333,0.039999998,1,1,1,1.74,6.3,0,1,0.588235294117647,1,1,37
"153",153,0,6,2,1,0,0,0,0,0.946666669333333,0.986666667333333,0.039999998,0.80000001,1,1,1.74,6.3,0,1,0.588235294117647,1,1,37
"154",154,1,6,17,1,0,1,0,0,0.946666669333333,0.986666667333333,0.039999998,1,1,1,1.74,6.3,0,1,0.588235294117647,1,1,37
"155",155,0,6,3,1,0,0,0,0,0.946666669333333,0.986666667333333,0.039999998,0.80000001,1,1,1.74,6.3,0,1,0.588235294117647,1,1,37
"156",156,1,6,18,1,0,1,0,0,0.946666669333333,0.986666667333333,0.039999998,1,1,1,1.74,6.3,0,1,0.588235294117647,1,1,37
"157",157,0,6,4,1,0,0,0,0,0.946666669333333,0.986666667333333,0.039999998,1,1,1,1.74,6.3,0,1,0.588235294117647,1,1,37
"158",158,1,6,19,1,0,1,0,0,0.946666669333333,0.986666667333333,0.039999998,1,1,1,1.74,6.3,0,1,0.588235294117647,1,1,37
"159",159,0,6,5,1,0,0,0,0,0.946666669333333,0.986666667333333,0.039999998,0.80000001,1,1,1.74,6.3,0,1,0.588235294117647,1,1,37
"160",160,1,6,20,1,0,1,0,0,0.946666669333333,0.986666667333333,0.039999998,1,1,1,1.74,6.3,0,1,0.588235294117647,1,1,37
"161",161,0,6,6,1,0,0,0,0,0.946666669333333,0.986666667333333,0.039999998,1,1,1,1.74,6.3,0,1,0.588235294117647,1,1,37
"162",162,1,6,21,1,0,1,0,0,0.946666669333333,0.986666667333333,0.039999998,1,1,1,1.74,6.3,0,1,0.588235294117647,1,1,37
"163",163,0,6,7,1,0,0,0,0,0.946666669333333,0.986666667333333,0.039999998,1,1,1,1.74,6.3,0,1,0.588235294117647,1,1,37
"164",164,1,6,22,1,0,1,0,0,0.946666669333333,0.986666667333333,0.039999998,1,1,1,1.74,6.3,0,1,0.588235294117647,1,1,37
"165",165,0,6,8,1,0,0,0,0,0.946666669333333,0.986666667333333,0.039999998,1,1,1,1.74,6.3,0,1,0.588235294117647,1,1,37
"166",166,1,6,23,1,0,1,0,0,0.946666669333333,0.986666667333333,0.039999998,1,1,1,1.74,6.3,0,1,0.588235294117647,1,1,37
"167",167,0,6,9,1,0,0,0,0,0.946666669333333,0.986666667333333,0.039999998,1,1,1,1.74,6.3,0,1,0.588235294117647,1,1,37
"168",168,1,6,24,1,0,1,0,0,0.946666669333333,0.986666667333333,0.039999998,1,1,1,1.74,6.3,0,1,0.588235294117647,1,1,37
"169",169,0,6,10,1,0,0,0,0,0.946666669333333,0.986666667333333,0.039999998,1,1,1,1.74,6.3,0,1,0.588235294117647,1,1,37
"170",170,1,6,25,1,0,1,0,0,0.946666669333333,0.986666667333333,0.039999998,1,1,1,1.74,6.3,0,1,0.588235294117647,1,1,37
"171",171,0,6,11,1,0,0,0,0,0.946666669333333,0.986666667333333,0.039999998,1,1,1,1.74,6.3,0,1,0.588235294117647,1,1,37
"172",172,1,6,26,1,0,1,0,0,0.946666669333333,0.986666667333333,0.039999998,1,1,1,1.74,6.3,0,1,0.588235294117647,1,1,37
"173",173,0,6,12,1,0,0,0,0,0.946666669333333,0.986666667333333,0.039999998,1,1,1,1.74,6.3,0,1,0.588235294117647,1,1,37
"174",174,1,6,27,1,0,1,0,0,0.946666669333333,0.986666667333333,0.039999998,1,1,1,1.74,6.3,0,1,0.588235294117647,1,1,37
"175",175,0,6,13,1,0,0,0,0,0.946666669333333,0.986666667333333,0.039999998,1,1,1,1.74,6.3,0,1,0.588235294117647,1,1,37
"176",176,1,6,28,1,0,1,0,0,0.946666669333333,0.986666667333333,0.039999998,1,1,1,1.74,6.3,0,1,0.588235294117647,1,1,37
"177",177,0,6,14,1,0,0,0,0,0.946666669333333,0.986666667333333,0.039999998,1,1,1,1.74,6.3,0,1,0.588235294117647,1,1,37
"178",178,1,6,29,1,0,1,0,0,0.946666669333333,0.986666667333333,0.039999998,1,1,1,1.74,6.3,0,1,0.588235294117647,1,1,37
"179",179,0,6,15,1,0,0,0,0,0.946666669333333,0.986666667333333,0.039999998,1,1,1,1.74,6.3,0,1,0.588235294117647,1,1,37
"180",180,1,6,30,1,0,1,0,0,0.946666669333333,0.986666667333333,0.039999998,0.80000001,1,1,1.74,6.3,0,1,0.588235294117647,1,1,37
"181",181,0,7,1,0,1,0,0,0,0,0.04,0.04,0,0,3,1.54,4.2,0,1,0.470588235294118,1,0,68
"182",182,1,7,16,0,1,0,1,0,0,0.04,0.04,0,0,3,1.54,4.2,0,1,0.470588235294118,1,0,68
"183",183,0,7,2,0,1,0,0,0,0,0.04,0.04,0,0,3,1.54,4.2,0,1,0.470588235294118,1,0,68
"184",184,1,7,17,0,1,0,1,0,0,0.04,0.04,0,0,3,1.54,4.2,0,1,0.470588235294118,1,0,68
