"","datacollection","standard_condition","standard_org","standard_perk","mreselfish","moreresp","moreupstan","orgbintere","investdonate","respleader","hirepres","mreselfish_re","standard_evalu_4items","standard_evalu_5items","standard_evalu_7items","standard_organization","standard_compensation","pltclideo","gender","yearbirth","countrybir","expeng","ethnicity","parented","bfrres","bfrthese","citytown","postalcode","honest","faminc","mturkhowm"
"91",1,4,1,1,4,4,5,5,3,4,5,4,4.5,4.2,4.28571428571429,1,1,3,2,1992,187,22,1,5,"0",2,"St. Paul","55104",1,"Not sure",""
"92",1,4,1,1,4,1,4,2,3,1,2,4,2.75,2.8,2.42857142857143,1,1,6,2,1994,187,20,1,5,"0",2,"eagan","55122",1,"200,000+",""
"93",1,4,1,1,4,4,4,4,5,5,6,4,4,4.2,4.57142857142857,1,1,2,2,1993,187,21,1,6,"0",2,"Saint Paul","55104",1,"400,000",""
"94",1,5,1,2,4,4,4,2,3,3,2,4,3.5,3.4,3.14285714285714,1,2,2,1,1993,187,21,1,5,"0",2,"St. Paul","55105",1,"75000",""
"95",1,1,0,1,4,4,4,4,5,4,5,4,4,4.2,4.28571428571429,0,1,1,2,1994,187,21,1,4,"0",2,"St. Paul","55104",1,"90,000",""
"96",1,4,1,1,4,4,4,4,4,4,4,4,4,4,4,1,1,4,1,1994,187,20,1,4,"0",2,"st.paul","55014",1,"250,000",""
"97",1,2,0,2,7,2,2,1,1,2,2,1,1.5,1.4,1.57142857142857,0,2,2,1,1993,187,21,1,4,"0",2,"Roseville","55113",1,"75000",""
"98",1,1,0,1,4,4,5,5,7,5,5,4,4.5,5,5,0,1,7,1,1994,78,20,5,6,"1",2,"Ramsey","55303",2,"75,000",""
"99",1,4,1,1,4,4,4,4,3,4,1,4,4,3.8,3.42857142857143,1,1,5,1,1991,187,24,1,6,"0",2,"Saint Paul","55104",1,"N/A",""
"100",1,4,1,1,4,3,5,2,6,2,3,4,3.5,4,3.57142857142857,1,1,4,2,1995,187,19,1,6,"2",2,"St. Paul","55105",1,"200000",""
