"","condition","participant_id","wave","surveyed_after_yoga_session","sex","age","z_self_centrality","z_better_than_average","z_exp_better_than_average","z_communal_narcissism","z_self_esteem","z_g_factor","z_g_factor_well_being","z_grouped_self_centrality","z_grouped_g_factor","z_grouped_g_factor_well_being","z_grouped_communal_narcissism","z_grouped_self_esteem","z_grouped_better_than_average"
"115",1,"43",10,1,1,"65",0.0509931462024248,0.574154116935385,-1.13908509671018,-1.95692643868252,-0.864602373972524,-1.19072566323026,0.176944078447933,-0.248407798546708,-0.26887172934149,-0.184112619980298,-0.313484024534306,-0.178878643193636,-0.131092295227216
"116",0,"121",11,0,NA,"",0.302015763681204,NA,NA,NA,NA,NA,NA,-0.306805421362952,NA,NA,NA,NA,NA
"117",0,"57",2,0,1,"46",-0.492889191668263,-4.6520587194563,NA,NA,NA,-2.55785444761834,-4.62833290059653,-0.0575260165055535,-2.14115492460917,-2.90425648222433,NA,NA,NA
"118",0,"11",3,0,1,"20",0.720386792812502,0.906254598177665,2.01258744278608,0.731250294578986,0.731545519139917,0.975364860005427,1.0093647715083,0.28030858951797,0.0724944299421583,-0.191953912373731,0.0295043787796994,0.165118747563356,-0.209747672363546
"119",1,"58",3,1,1,"62",-0.241866574189484,-1.03391137118513,-0.82391784276055,-0.743968644405984,0.236189276449849,-0.363076552476249,-1.10402042161475,0.85068775923364,0.533184723170132,0.0413891694325894,0.0437101907847399,0.770554155295661,0.0349579453939242
"120",1,"55",6,1,1,"26",-0.388296434385438,0.207095690299179,-0.548146495554628,0.403423863693437,-1.24987945162036,-0.617729151749994,0.287163975032175,0.115052033011107,0.522336011763654,0.313111820982162,0.19259802814526,0.577915616471746,0.292772792674116
"121",0,"68",9,0,1,"24",1.1387578219438,0.976170488965514,-0.429958775323519,1.86225148113413,-0.974681539014762,0.302134873060678,1.293805861429,0.12551130873939,0.186506853619397,0.23091289726189,0.38519605629052,0,0.16605024062114
"122",1,"95",9,1,1,"22",-0.388296434385438,-1.10382726197298,-0.508750588810925,0.0919887543521657,-1.24987945162036,-1.03680392388838,-1.00836417970306,0.188266963109084,0.294413949171899,0.180970810671654,0.453493229391676,0.146772220056316,0.099047511949452
"123",1,"70",11,1,1,"21",0.553038381159983,-0.0725678728522149,1.18527340116831,-0.5144901427861,0.18114969392873,-0.0916438232228948,-0.153755276291231,-0.0209185514565648,-0.00151615689593915,0.0335764542614545,-0.0819566077213872,0.0275197912605593,0.0524369180908865
"124",0,"22",3,0,1,"26",0.322934315137769,0.521717198844498,0.633730706756467,0.354249899060605,0.401308024013205,0.52434260560192,0.574144600263191,-0.125511308739389,-0.045611400958026,-0.274310714169936,0.114739250809942,-0.0275197912605593,-0.314621508545319
"125",0,"19",8,0,1,"19",-0.116355265450095,-1.40096979782134,-0.82391784276055,-0.5144901427861,-0.424285713803575,-0.793936079944752,-1.40557263451561,-0.329467185440897,-1.20319617286663,-0.560496495085651,-0.471250494397977,-1.37598956302797,-0.498150721863421
"126",1,"109",10,1,1,"63",1.93366277729327,0.976170488965514,2.52473423045422,2.09172998275402,1.72225800452005,2.16990341977978,1.33815055014277,0.0732149300979772,-0.00474339570323501,-0.34272942384936,0.0163913215442775,0.110079165042237,-0.367058426636205
"127",0,"104",11,0,1,"34",0.302015763681204,0.381885417268801,1.14587749442461,0.0592061112636108,-0.149087801197982,0.0154987177385373,0.385359752254187,-0.125511308739389,0.476833385065262,0.679755801121776,0.278652466252717,0.330237495126712,0.664200962484562
"128",1,"107",11,1,1,"57",-0.932178772256126,0.399364389965763,0.830710240474982,0.731250294578986,1.06178301426663,1.077656104275,0.531697621659523,-0.676366497095599,-0.296743329917474,-0.537850549555118,-0.0273188692404625,-0.238504857591514,-0.565153450535109
"129",0,"64",9,0,1,"22",-0.346459331472309,0.853817680086779,-0.82391784276055,0.124771397440721,-0.919641956493643,-0.359945041182359,0.842754251105505,-0.320751122333995,0.107443202520527,0.458237705205887,0.382464169366474,-0.201811802577435,0.40784269626245
"130",1,"31",10,1,1,"24",-0.304622228559179,0.259532608390066,0.948897960706092,0.354249899060605,0.126110111407611,0.283011898701797,0.327075384824169,-0.334696823305039,1.13742407914638,1.4135974254539,0.592136490787023,0.901273163783318,1.37865397147289
"131",0,"64",11,0,1,"22",0.385689969507463,0.45180130805665,-0.666334215785738,-0.350576927343326,-0.919641956493643,-0.635042213247583,0.372057932239511,0.411398178645777,-0.167653969544696,-0.012458613660107,-0.0928841554175723,-0.201811802577435,0.00582632423232071
"132",1,"134",11,1,1,"71",0.783142447182197,NA,NA,NA,0.511387189055442,0.468019623295394,NA,0.369561075732647,0.265607769477933,NA,NA,0.293544440112633,NA
