"","participant","condition","age","gender","dog","trolley","wallet","plane","resume","kitten","relaxed","angry","happy","sad","afraid","depressed","disgusted","upset","confused","vignette"
"122",246,0,19,0,6,3,5,7,3,7,0,0,0,6,0,0,21,4,11,5.16666666666667
"123",247,0,21,0,4,3,6,7,6,6,6,8,8,5,11,5,20,6,14,5.33333333333333
"124",250,1,20,0,7,3,6,6,7,7,1,5,1,5,1,1,21,14,17,6
"125",260,1,19,0,7,3,7,7,7,7,1,17,0,1,1,1,21,1,7,6.33333333333333
"126",266,1,18,0,4,3,5,5,6,3,10,1,1,13,2,8,17,11,7,4.33333333333333
"127",267,0,19,0,6,4,7,7,7,7,1,11,0,5,6,15,20,9,16,6.33333333333333
"128",270,1,20,0,7,5,4,7,3,7,3,4,3,6,10,9,19,5,15,5.5
"129",282,1,18,0,7,4,7,7,7,7,6,0,0,3,3,0,10,7,21,6.5
"130",292,0,19,0,7,4,6,5,7,6,1,3,1,1,3,2,21,19,21,5.83333333333333
"131",293,0,20,0,7,3,7,7,5,7,1,1,1,1,1,1,18,4,1,6
"132",300,1,18,0,3,4,6,7,4,7,3,0,0,0,2,NA,21,0,13,5.16666666666667
