"","subid","groupnr","condition","subage","subgender","feel_interested","feel_distressed","feel_excited","feel_upset","feel_strong","feel_guilty","feel_scared","feel_hostile","feel_enthusiastic","feel_proud","feel_irritable","feel_alert","feel_ashamed","feel_inspired","feel_nervous","feel_determined","feel_attentive","feel_jittery","feel_active","feel_afraid","task_threatening","task_fearful","task_enjoyable","task_worrying","task_hostile","task_challenging","task_stimulating","task_exhilarating","task_painful","task_depressing","task_pitiful","task_informative","task_exciting","task_frightening","task_terrifying","task_intolerable","task_intense","task_unpleasant","cooperation","lottery1","lottery2","lottery3","lottery4","lottery5","lottery6"
"45","MOC",29,0,21,0,3,1,4,2,1,1,1,1,3,2,1,2,1,1,2,2,4,2,3,1,1,1,3,1,1,5,2,3,1,1,1,1,3,1,1,1,1,1,4.66666666666667,7,5,6,2,3,5
"46","MPA",32,0,24,1,4,1,3,1,2,1,1,1,3,4,1,2,1,3,1,4,4,1,4,1,1,1,4,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,4,3,6,4,2,3,6
"47","MPB",32,0,21,0,4,2,3,3,2,1,1,1,3,3,1,2,1,4,2,4,3,2,3,2,1,1,3,3,3,4,2,NA,1,1,1,1,2,1,1,1,1,1,6.66666666666667,7,7,7,6,6,7
"48","MPC",32,0,21,0,4,1,3,1,3,1,1,1,3,2,1,3,1,3,1,2,4,1,4,1,1,1,4,1,1,4,3,2,1,2,3,3,3,1,1,1,1,1,4.33333333333333,7,1,6,4,5,3
"49","MRA",36,0,21,1,4,1,3,2,3,1,2,1,3,3,1,3,1,2,1,3,3,1,5,1,1,1,2,1,1,3,3,2,1,1,1,2,2,1,1,1,1,1,2.33333333333333,2,2,3,2,3,2
"50","MRB",36,0,19,0,3,3,2,3,2,1,1,1,2,2,2,2,1,2,3,2,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,3,3.66666666666667,1,2,5,2,5,7
"51","MRC",36,0,19,0,4,1,2,NA,2,1,1,1,2,2,1,3,1,1,2,2,4,2,3,1,1,1,2,1,1,3,3,3,1,1,1,1,3,1,1,1,2,2,5.16666666666667,7,7,3,4,3,7
"52","MQA",37,0,28,0,4,1,2,1,3,1,1,1,4,2,1,1,2,3,1,3,4,1,3,1,1,1,3,1,1,4,3,2,2,1,1,3,3,1,1,1,3,2,5.33333333333333,2,5,7,5,6,7
"53","MQB",37,0,22,1,4,1,4,1,4,1,1,1,4,5,1,4,1,3,1,4,5,1,4,1,1,1,4,1,1,5,2,1,1,1,1,3,3,1,1,1,1,1,7,7,7,7,7,7,7
"54","MQC",37,0,21,0,1,2,3,1,3,3,1,1,4,4,2,3,4,4,1,2,5,2,4,1,1,1,3,1,1,2,3,2,1,1,2,2,3,2,2,3,3,7,5.66666666666667,7,1,5,7,7,7
