"","Gender","Treatment","Dice_report","Report_time","Happy","Loving","Tired","Calm","Gloomy","Fed_up","Sad","Content","Cheerful","active","active2","tired2","angry","tense","angry2","pos_mood","neg_mood"
"14",0,0,"2.00",7.56,"3.00","3.00","4.00","4.00","1.00","3.00","1.00","2.00","3.00","2.00","2.00","4.00","1.00","2.00","1.00","2.71","2.11"
"15",0,0,"3.00",8.31,"3.00","3.00","5.00","4.00","1.00","2.00","1.00","3.00","3.00","2.00","3.00","4.00","2.00","2.00","1.00","3.00","2.33"
"16",1,0,"3.00",13.59,"3.00","1.00","3.00","3.00","1.00","3.00","1.00","3.00","3.00","3.00","2.00","2.00","1.00","4.00","2.00","2.57","2.00"
"17",0,0,"5.00",9.04,"3.00","4.00","2.00","2.00","2.00","1.00","3.00","3.00","3.00","2.00","2.00","3.00","1.00","2.00","1.00","2.71","2.00"
"18",1,0,"5.00",10.06,"4.00","3.00","2.00","4.00","1.00","4.00","2.00","4.00","3.00","3.00","3.00","2.00","3.00","3.00","3.00","3.43","2.56"
"19",0,0,"5.00",18.06,"3.00","4.00","3.00","4.00","1.00","2.00","2.00","4.00","3.00","2.00","2.00","3.00","1.00","1.00","1.00","3.14","1.78"
"20",0,0,"5.00",14.34,"3.00","3.00","5.00","2.00","1.00","2.00","1.00","3.00","3.00","3.00","3.00","5.00","2.00","4.00","1.00","2.86","2.78"
"21",0,0,"6.00",9.68,"3.00","3.00","4.00","4.00","3.00","4.00","3.00","3.00","3.00","2.00","2.00","4.00","3.00","3.00","3.00","2.86","3.22"
"22",0,0,"6.00",6.37,"4.00","4.00","4.00","5.00","1.00","2.00","1.00","4.00","3.00","2.00","3.00","4.00","1.00","1.00","1.00","3.57","1.89"
"23",0,0,"6.00",9.32,"3.00","3.00","2.00","2.00","2.00","1.00","4.00","3.00","3.00","3.00","2.00","2.00","3.00","3.00","3.00","2.71","2.67"
"24",1,0,"2.00",8.25,"5.00","4.00","4.00","5.00","1.00","4.00","1.00","5.00","4.00","4.00","4.00","3.00","1.00","1.00","1.00","4.43","1.89"
