"","Consent","Pre_Perc_1","Pre_Cert","C1","Post_Perc_1","Post_Cert","Check","Check_4_TEXT","See","Pet_Agree","Pet_Conv","Pie_Agree","Pie_Conv","Age","Gender","Party","Educ","Occ","Live","ConditionOne","ConditionTwo","ConditionThree","ConditionFour","ConditionFive","Gender_female","Education_college","Party_democrat"
"489",1,90,7,NA,94,5,4,"I am paying attention",4,3,4,7,7,2,1,1,1,2,1,NA,NA,NA,1,NA,0,0,1
"490",1,100,7,NA,100,7,4,"I am paying attention.",2,7,6,NA,NA,1,1,3,2,2,1,NA,NA,1,NA,NA,0,1,0
"491",1,95,5,NA,97,7,4,"I am paying attention",1,NA,NA,6,6,2,1,3,3,2,1,NA,1,NA,NA,NA,0,1,0
"492",1,78,7,NA,97,7,4,"i am paying attention",1,NA,NA,6,7,1,2,1,1,2,1,NA,1,NA,NA,NA,1,0,1
"493",1,99,5,8,99,5,4,"I am paying attention.",5,NA,NA,NA,NA,2,2,1,2,2,1,1,NA,NA,NA,NA,1,1,1
"494",1,53,4,NA,93,3,4,"I am paying attention.",2,3,2,NA,NA,4,1,3,2,2,1,NA,NA,NA,NA,1,0,1,0
"495",1,75,4,NA,91,5,4,"I am paying attention",2,7,6,NA,NA,2,1,1,2,2,1,NA,NA,1,NA,NA,0,1,1
"496",1,62,5,NA,31,4,4,"I am paying attention",4,3,2,6,3,3,1,1,2,2,1,NA,NA,NA,1,NA,0,1,1
"497",1,99,5,NA,99,5,4,"I am paying attention.",2,1,2,NA,NA,2,1,2,2,2,1,NA,NA,1,NA,NA,0,1,0
"498",1,98,6,8,98,6,4,"i am paying attention",5,NA,NA,NA,NA,1,1,1,2,2,1,1,NA,NA,NA,NA,0,1,1
"499",1,75,5,NA,97,7,4,"I am paying attention.",4,7,6,7,6,1,1,1,2,2,1,NA,NA,NA,NA,1,0,1,1
"500",1,95,5,NA,97,6,4,"I am paying attention.",1,NA,NA,6,6,2,1,1,2,2,1,NA,1,NA,NA,NA,0,1,1
"501",1,81,6,NA,97,7,4,"I am paying attention.",4,6,7,6,6,4,2,1,2,2,1,NA,NA,NA,1,NA,1,1,1
"502",1,91,3,NA,80,4,4,"I am paying attention",2,5,6,NA,NA,2,2,1,2,2,1,NA,NA,1,NA,NA,1,1,1
"503",1,90,5,NA,97,7,4,"I am paying attention.",1,NA,NA,7,4,2,3,3,5,2,1,NA,NA,NA,NA,1,0,0,0
"504",1,82,5,NA,97,7,4,"I am paying attention",1,NA,NA,7,7,2,1,3,4,2,1,NA,1,NA,NA,NA,0,1,0
"505",1,52,5,8,60,6,4,"I am paying attention.",5,NA,NA,NA,NA,2,1,3,2,2,1,1,NA,NA,NA,NA,0,1,0
"506",1,90,5,NA,97,6,4,"I am paying attention.",4,6,3,5,5,2,1,2,2,2,1,NA,NA,NA,1,NA,0,1,0
"507",1,90,5,NA,97,7,4,"I am paying attention.",4,7,7,6,6,2,1,1,2,2,1,NA,NA,NA,1,NA,0,1,1
"508",1,87,5,NA,97,7,4,"I am paying attention",1,NA,NA,7,6,2,2,1,1,2,1,NA,1,NA,NA,NA,1,0,1
"509",1,98,5,8,98,5,4,"I am paying attention.",5,NA,NA,NA,NA,2,2,1,2,2,1,1,NA,NA,NA,NA,1,1,1
"510",1,96,6,NA,97,7,4,"I am paying attention.",1,NA,NA,7,7,2,2,1,2,2,1,NA,1,NA,NA,NA,1,1,1
"511",1,60,4,NA,11,5,4,"I am paying attention.",2,4,4,NA,NA,3,2,3,1,2,1,NA,NA,1,NA,NA,1,0,0
"512",1,60,3,NA,97,4,4,"I am paying attention",4,1,1,7,7,2,1,3,1,2,1,NA,NA,NA,NA,1,0,0,0
"513",1,95,6,NA,95,6,4,"I am paying attention",4,7,6,7,6,1,1,1,2,2,1,NA,NA,NA,NA,1,0,1,1
"514",1,89,5,8,88,5,4,"I am paying attention.",5,NA,NA,NA,NA,3,2,3,2,2,1,1,NA,NA,NA,NA,1,1,0
"515",1,91,5,NA,66,6,4,"I am paying attention.",2,4,5,NA,NA,2,1,1,2,2,1,NA,NA,1,NA,NA,0,1,1
"516",1,62,3,NA,13,4,4,"I am paying attention",2,4,3,NA,NA,2,1,2,2,2,1,NA,NA,1,NA,NA,0,1,0
"517",1,95,6,NA,95,6,4,"I am paying attention.",4,3,5,6,4,2,1,3,4,2,1,NA,NA,NA,1,NA,0,1,0
"518",1,36,2,NA,97,1,4,"I am paying attention.",1,NA,NA,1,1,4,2,3,1,2,1,NA,1,NA,NA,NA,1,0,0
"519",1,71,2,NA,97,6,4,"I am paying attention.",4,7,6,3,6,3,1,3,3,2,1,NA,NA,NA,1,NA,0,1,0
"520",1,40,1,8,40,1,4,"I am paying attention.",5,NA,NA,NA,NA,2,2,3,5,2,1,1,NA,NA,NA,NA,1,0,0
"521",1,50,6,NA,50,7,4,"I am paying attention",4,1,1,1,1,2,1,2,2,2,1,NA,NA,NA,NA,1,0,1,0
"522",1,97,6,NA,97,7,4,"I am paying attention.",4,1,5,7,5,3,1,1,2,2,1,NA,NA,NA,1,NA,0,1,1
"523",1,98,6,NA,98,6,4,"I am paying attention.",2,6,6,NA,NA,4,2,1,2,2,1,NA,NA,1,NA,NA,1,1,1
"524",1,80,5,NA,97,7,4,"I am paying attention",4,6,6,6,6,3,1,2,1,2,1,NA,NA,NA,NA,1,0,0,0
"525",1,97,5,8,97,5,4,"I am paying attention.",5,NA,NA,NA,NA,2,1,1,2,2,1,1,NA,NA,NA,NA,0,1,1
"526",1,100,7,NA,99,7,4,"I am paying attention.",1,NA,NA,7,7,2,1,1,2,2,1,NA,1,NA,NA,NA,0,1,1
"527",1,70,5,8,70,5,4,"I am paying attention.",5,NA,NA,NA,NA,2,1,1,1,2,1,1,NA,NA,NA,NA,0,0,1
"528",1,97,6,NA,92,5,4,"I am paying attention.",2,3,1,NA,NA,2,2,1,2,2,1,NA,NA,1,NA,NA,1,1,1
"529",1,90,6,NA,97,6,4,"I am paying attention.",4,2,2,7,7,4,1,1,2,2,1,NA,NA,NA,1,NA,0,1,1
"530",1,99,5,NA,97,6,4,"I am paying attention",1,NA,NA,6,6,2,1,1,1,2,1,NA,1,NA,NA,NA,0,0,1
"531",1,95,5,NA,97,7,4,"I am paying attention.",4,1,1,7,7,3,1,3,2,2,1,NA,NA,NA,NA,1,0,1,0
"532",1,98,7,8,99,7,4,"I am paying attention.",5,NA,NA,NA,NA,1,1,2,2,2,1,1,NA,NA,NA,NA,0,1,0
"533",1,60,5,8,60,5,4,"I am paying attention",5,NA,NA,NA,NA,4,1,3,2,2,1,1,NA,NA,NA,NA,0,1,0
"534",1,80,5,NA,92,5,4,"I am paying attention.",1,NA,NA,6,6,2,1,1,2,2,1,NA,1,NA,NA,NA,0,1,1
"535",1,90,5,NA,90,5,4,"I am paying attention",2,6,6,NA,NA,2,1,1,2,2,1,NA,NA,1,NA,NA,0,1,1
"536",1,40,1,NA,97,7,4,"I am paying attention.",4,5,6,4,5,2,1,3,2,2,1,NA,NA,NA,1,NA,0,1,0
"537",1,71,2,NA,97,6,4,"I am paying attention.",4,1,2,7,6,2,2,1,1,2,1,NA,NA,NA,NA,1,1,0,1
"538",1,98,6,NA,97,7,4,"I am paying attention.",4,4,4,7,7,2,1,1,2,2,1,NA,NA,NA,NA,1,0,1,1
"539",1,95,5,NA,90,5,4,"I am paying attention.",2,1,2,NA,NA,2,1,1,2,2,1,NA,NA,1,NA,NA,0,1,1
"540",1,65,5,NA,97,6,4,"I am paying attention",1,NA,NA,3,4,2,1,2,2,2,1,NA,1,NA,NA,NA,0,1,0
"541",1,70,4,NA,97,5,4,"I am paying attention",4,5,6,6,7,2,2,2,1,2,1,NA,NA,NA,1,NA,1,0,0
"542",1,97,6,8,97,6,4,"I am paying attention.",5,NA,NA,NA,NA,2,2,1,1,2,1,1,NA,NA,NA,NA,1,0,1
"543",1,80,5,NA,70,6,4,"I am paying attention",2,5,5,NA,NA,2,1,1,2,2,1,NA,NA,1,NA,NA,0,1,1
"544",1,80,5,NA,97,7,4,"I am paying attention",4,6,6,6,5,3,1,2,3,2,1,NA,NA,NA,1,NA,0,1,0
"545",1,98,5,NA,97,6,4,"I am paying attention.",4,3,1,6,7,3,2,1,1,2,1,NA,NA,NA,NA,1,1,0,1
"546",1,93,7,NA,97,7,4,"I am paying attention.",1,NA,NA,7,5,2,1,3,2,2,1,NA,1,NA,NA,NA,0,1,0
"547",1,70,5,NA,96,5,4,"I am paying attention",4,2,2,2,2,2,2,3,NA,2,1,NA,NA,NA,1,NA,1,0,0
"548",1,51,5,8,51,5,4,"I am paying attention.",5,NA,NA,NA,NA,1,2,3,2,2,1,1,NA,NA,NA,NA,1,1,0
"549",1,96,5,NA,96,5,4,"I am paying attention.",2,1,1,NA,NA,2,2,1,2,2,1,NA,NA,1,NA,NA,1,1,1
"550",1,65,2,NA,97,5,4,"I am paying attention.",1,NA,NA,2,1,2,2,4,2,2,1,NA,1,NA,NA,NA,1,1,0
"551",1,81,5,NA,97,6,4,"I am paying attention",4,3,3,6,7,2,1,3,5,2,1,NA,NA,NA,NA,1,0,0,0
"552",1,95,7,NA,95,7,4,"I am paying attention.",2,7,7,NA,NA,2,1,1,2,2,1,NA,NA,1,NA,NA,0,1,1
"553",1,81,1,NA,97,7,4,"I am paying attention.",4,6,6,5,6,2,1,1,1,2,1,NA,NA,NA,NA,1,0,0,1
"554",1,95,5,8,95,5,4,"I am paying attention.",3,NA,NA,NA,NA,2,1,1,1,2,1,1,NA,NA,NA,NA,0,0,1
"555",1,85,5,NA,91,6,4,"I am paying attention",4,4,5,4,6,2,2,3,1,2,1,NA,NA,NA,1,NA,1,0,0
"556",1,87,4,NA,97,5,4,"I am paying attention",1,NA,NA,5,4,2,1,1,1,2,1,NA,1,NA,NA,NA,0,0,1
"557",1,80,5,NA,97,6,4,"I am paying attention.",1,NA,NA,6,6,2,1,3,2,2,1,NA,1,NA,NA,NA,0,1,0
"558",1,100,3,NA,97,4,4,"I am paying attention.",4,4,2,5,4,2,2,1,2,2,1,NA,NA,NA,NA,1,1,1,1
"559",1,90,5,8,85,5,4,"I am paying attention",5,NA,NA,NA,NA,2,2,1,2,2,1,1,NA,NA,NA,NA,1,1,1
"560",1,70,6,NA,33,3,4,"I am paying attention",4,3,3,7,7,2,2,2,2,2,1,NA,NA,NA,1,NA,1,1,0
"561",1,95,6,NA,95,6,4,"I am paying attention",2,6,5,NA,NA,2,1,2,3,2,1,NA,NA,1,NA,NA,0,1,0
"562",1,90,5,NA,96,5,4,"I am paying attention.",2,6,7,NA,NA,1,2,1,2,2,1,NA,NA,1,NA,NA,1,1,1
"563",1,90,5,NA,97,6,4,"I am paying attention.",1,NA,NA,6,6,2,1,2,3,2,1,NA,1,NA,NA,NA,0,1,0
"564",1,90,6,NA,97,7,4,"I am paying attention.",4,7,6,7,4,2,2,1,3,2,1,NA,NA,NA,1,NA,1,1,1
"565",1,99,6,8,99,6,4,"I am paying attention.",5,NA,NA,NA,NA,3,2,3,2,2,1,1,NA,NA,NA,NA,1,1,0
"566",1,89,4,NA,97,6,4,"I am paying attention",4,4,4,5,4,2,1,2,2,2,1,NA,NA,NA,NA,1,0,1,0
"567",1,81,2,NA,74,2,4,"I am paying attention.",1,NA,NA,5,2,2,2,2,2,2,1,NA,1,NA,NA,NA,1,1,0
"568",1,31,1,8,31,1,4,"I am paying attention",5,NA,NA,NA,NA,2,1,1,2,2,1,1,NA,NA,NA,NA,0,1,1
"569",1,90,6,NA,97,6,4,"I am paying attention",4,3,1,6,3,2,1,3,2,2,1,NA,NA,NA,1,NA,0,1,0
"570",1,90,6,NA,96,6,4,"I am paying attention.",4,6,6,6,6,3,2,1,1,2,1,NA,NA,NA,NA,1,1,0,1
"571",1,50,4,NA,50,4,4,"I am paying attention.",2,4,4,NA,NA,2,1,3,2,2,1,NA,NA,1,NA,NA,0,1,0
"572",1,71,1,NA,97,4,4,"I am paying attention.",1,NA,NA,4,5,2,1,2,2,2,1,NA,1,NA,NA,NA,0,1,0
"573",1,95,6,NA,90,6,4,"I am paying attention",2,2,2,NA,NA,1,1,1,2,2,1,NA,NA,1,NA,NA,0,1,1
"574",1,98,7,NA,97,7,4,"I am paying attention",4,2,1,7,3,2,1,3,1,2,1,NA,NA,NA,NA,1,0,0,0
"575",1,61,5,NA,73,5,4,"I am paying attention.",4,6,5,4,5,2,1,2,3,2,1,NA,NA,NA,1,NA,0,1,0
"576",1,40,2,8,40,2,4,"I am paying attention.",5,NA,NA,NA,NA,2,1,1,2,2,1,1,NA,NA,NA,NA,0,1,1
"577",1,97,6,NA,97,6,4,"I am paying attention.",2,1,1,NA,NA,3,1,1,1,2,1,NA,NA,1,NA,NA,0,0,1
