"","dummybitter","dummysweet","dummywater","javg","sex","age","policonserv","poliliberal","check_enjoy","check_sweet","check_bitter","check_neutral","check_disgusting","check_regular"
"152",0,1,0,71.5,0,21,TRUE,FALSE,6,3,5,3,1,7
"153",1,0,0,79.2,1,22,FALSE,TRUE,1,1,7,1,7,1
"154",0,0,1,77.6666666666667,0,21,FALSE,TRUE,7,1,1,7,1,7
"155",1,0,0,66.1666666666667,1,20,FALSE,TRUE,1,3,7,1,6,1
"156",0,1,0,78.8333333333333,1,21,FALSE,TRUE,4,1,5,2,1,4
"157",0,0,0,69.6,1,22,FALSE,FALSE,7,4,1,1,1,7
"158",0,1,0,72.6666666666667,0,19,TRUE,FALSE,6,6,1,3,1,6
"159",1,0,0,65.1666666666667,0,20,FALSE,TRUE,2,5,6,1,3,2
"160",1,0,0,76.1666666666667,0,23,FALSE,TRUE,2,3,6,3,5,2
"161",0,1,0,91.8333333333333,0,21,FALSE,TRUE,6,6,1,2,1,6
"162",0,0,0,76.5,0,21,FALSE,FALSE,1,2,7,1,7,1
"163",0,0,0,54.6,0,19,FALSE,TRUE,4,5,4,4,2,2
"164",1,0,0,91.3333333333333,0,21,FALSE,TRUE,1,3,7,1,7,1
"165",0,0,1,55.8333333333333,0,20,FALSE,TRUE,3,1,1,2,2,6
"166",0,0,0,72.1666666666667,0,20,FALSE,FALSE,6,6,1,5,1,5
"167",0,0,0,64.1666666666667,0,20,FALSE,FALSE,1,4,7,1,7,1
"168",0,1,0,74.1666666666667,0,20,FALSE,TRUE,7,7,1,1,1,7
"169",0,0,1,71.3333333333333,1,23,FALSE,TRUE,7,4,4,4,4,6
"170",0,0,1,64,0,20,FALSE,TRUE,3,1,1,4,1,7
"171",1,0,0,63.3333333333333,0,20,FALSE,TRUE,1,1,7,1,7,1
"172",1,0,0,82.8333333333333,0,20,FALSE,TRUE,1,1,7,1,7,1
"173",0,0,0,64.6,0,21,FALSE,TRUE,1,4,5,1,1,1
"174",0,0,0,80.3333333333333,1,20,FALSE,FALSE,1,1,5,1,7,1
"175",0,0,1,36,0,22,FALSE,TRUE,4,1,1,7,1,7
"176",0,0,1,76.5,1,22,FALSE,TRUE,7,4,4,4,1,7
"177",0,1,0,61,1,24,FALSE,TRUE,7,5,5,5,1,5
"178",0,0,1,48.6666666666667,0,20,FALSE,TRUE,7,4,1,7,1,7
"179",0,0,1,83,0,19,FALSE,TRUE,5,1,1,7,1,4
"180",0,1,0,100,0,20,FALSE,TRUE,1,3,1,1,4,1
"181",1,0,0,89,0,20,TRUE,FALSE,1,1,4,3,5,1
"182",0,0,1,64.6666666666667,0,19,TRUE,FALSE,4,1,1,7,1,7
"183",0,1,0,42.5,0,19,FALSE,TRUE,7,7,1,1,1,3
"184",1,0,0,91.8333333333333,1,20,TRUE,FALSE,1,1,7,1,7,1
"185",0,0,1,70.6666666666667,0,19,FALSE,TRUE,4,1,1,NA,7,7
"186",0,0,1,54.6666666666667,1,20,FALSE,TRUE,5,1,1,7,1,7
"187",1,0,0,60.5,0,20,FALSE,TRUE,1,1,7,1,NA,1
"188",1,0,0,53.8333333333333,1,18,FALSE,TRUE,3,1,5,4,3,2
"189",0,0,0,65,1,21,FALSE,FALSE,4,7,1,1,1,4
"190",0,0,0,63.3333333333333,0,21,FALSE,FALSE,2,1,7,2,2,1
"191",0,1,0,65.6666666666667,0,20,TRUE,FALSE,7,5,2,1,1,7
"192",0,0,1,80.4,0,20,FALSE,TRUE,4,4,1,4,1,7
"193",0,0,0,75,1,21,FALSE,FALSE,1,1,7,1,7,1
"194",0,1,0,80,0,20,FALSE,TRUE,6,7,1,1,2,5
"195",0,0,0,68.6666666666667,0,19,FALSE,FALSE,4,4,4,4,4,4
"196",0,0,1,83.1666666666667,0,20,FALSE,TRUE,4,1,1,4,1,7
"197",1,0,0,89.6,0,20,FALSE,TRUE,1,1,7,1,7,1
"198",0,0,1,72.6666666666667,0,20,FALSE,TRUE,4,1,1,7,1,5
"199",0,1,0,71,0,21,FALSE,TRUE,3,3,1,3,3,1
"200",0,1,0,75.1666666666667,0,20,TRUE,FALSE,5,6,1,5,1,5
"201",0,0,1,69,0,20,FALSE,TRUE,1,1,7,1,7,1
"202",0,1,0,91.6666666666667,0,19,FALSE,TRUE,6,6,4,1,1,7
"203",1,0,0,67.1666666666667,1,22,FALSE,TRUE,1,1,7,2,7,1
"204",1,0,0,58.8333333333333,1,25,FALSE,TRUE,1,1,7,1,7,1
"205",0,0,1,68.5,0,20,FALSE,TRUE,4,1,1,NA,7,6
"206",0,1,0,74.3333333333333,1,21,FALSE,TRUE,7,5,3,3,1,7
"207",1,0,0,72.1666666666667,0,22,FALSE,TRUE,1,1,7,1,7,1
"208",0,0,1,77,1,21,FALSE,TRUE,4,1,1,7,1,4
"209",0,1,0,86.1666666666667,1,23,FALSE,TRUE,3,7,5,1,3,3
"210",1,0,0,60.2,1,20,FALSE,TRUE,1,1,7,1,7,1
"211",0,0,0,73.8,1,18,FALSE,TRUE,4,1,3,6,3,3
"212",0,0,0,82.1666666666667,0,19,FALSE,FALSE,1,1,7,1,7,1
"213",0,0,1,67.1666666666667,1,30,FALSE,TRUE,7,5,1,4,1,7
"214",0,1,0,86.6666666666667,1,19,FALSE,TRUE,6,4,1,4,1,4
"215",0,1,0,49.5,0,19,FALSE,TRUE,4,6,NA,2,1,4
"216",1,0,0,79.3333333333333,0,19,FALSE,TRUE,1,1,7,1,7,1
"217",1,0,0,59.8333333333333,0,22,FALSE,TRUE,1,2,7,1,7,1
"218",0,0,1,91.8333333333333,0,19,FALSE,TRUE,7,1,1,7,1,7
"219",0,0,0,84.1666666666667,0,19,FALSE,FALSE,4,6,3,1,4,2
"220",0,0,1,86.1666666666667,0,20,FALSE,TRUE,7,1,1,7,1,7
"221",0,1,0,91.8333333333333,0,23,FALSE,TRUE,4,3,5,1,1,4
"222",1,0,0,85.6666666666667,0,19,TRUE,FALSE,1,1,7,1,7,1
"223",1,0,0,83.1666666666667,0,18,FALSE,TRUE,1,1,7,1,7,1
"224",0,1,0,76.8333333333333,1,21,FALSE,TRUE,4,5,2,3,1,4
"225",0,0,1,85.5,0,20,FALSE,TRUE,7,1,1,7,1,7
"226",0,0,1,59,0,20,TRUE,FALSE,4,4,4,7,3,5
"227",0,1,0,94.3333333333333,1,21,FALSE,TRUE,6,6,2,5,2,5
"228",0,1,0,85.5,0,21,FALSE,TRUE,3,7,5,1,5,1
"229",0,0,0,88.5,1,21,FALSE,FALSE,5,7,1,1,6,2
"230",0,0,1,82.3333333333333,0,20,FALSE,TRUE,4,3,4,7,2,4
"231",0,1,0,79,1,18,TRUE,FALSE,4,6,1,NA,1,1
"232",0,1,0,89.8333333333333,1,26,FALSE,TRUE,5,6,2,1,2,2
"233",0,0,1,92.8333333333333,1,20,FALSE,TRUE,1,1,1,7,7,1
"234",1,0,0,66.6666666666667,0,20,FALSE,TRUE,3,3,5,1,3,2
"235",0,0,1,74.1666666666667,0,19,FALSE,TRUE,4,2,2,4,1,1
"236",0,0,1,83.3333333333333,0,24,FALSE,TRUE,4,3,3,7,3,5
"237",0,0,1,68,1,18,TRUE,FALSE,4,1,1,4,1,7
"238",0,1,0,80.6,0,21,FALSE,TRUE,7,7,1,1,1,7
"239",1,0,0,59.6666666666667,0,18,FALSE,TRUE,1,1,7,1,7,1
"240",0,1,0,84.6666666666667,0,20,FALSE,TRUE,7,5,1,1,1,6
"241",0,0,1,65.6,0,21,FALSE,TRUE,4,1,1,7,1,4
"242",0,1,0,73.3333333333333,1,22,FALSE,TRUE,5,6,1,1,2,6
"243",0,0,1,33,0,20,FALSE,TRUE,3,1,1,7,1,7
"244",1,0,0,78.4,1,20,FALSE,TRUE,1,2,7,1,6,1
"245",0,0,0,24.8333333333333,1,22,FALSE,FALSE,4,4,4,7,1,4
"246",0,0,0,99.8333333333333,0,21,FALSE,TRUE,4,4,4,1,1,1
"247",0,1,0,98.5,0,21,FALSE,TRUE,1,1,5,1,6,1
"248",0,0,1,67,0,20,FALSE,TRUE,4,1,1,7,1,7
"249",0,1,0,56.8333333333333,0,22,FALSE,TRUE,4,3,4,3,1,3
"250",1,0,0,55.6666666666667,0,19,FALSE,TRUE,2,4,5,3,4,1
"251",0,0,1,79.4,0,19,FALSE,TRUE,4,1,1,7,1,6
